iso_name,iso_639_1,iso_639_3
Afar,aa,aar
Abkhazian,ab,abk
Afrikaans,af,afr
Akan,ak,aka
Amharic,am,amh
Arabic,ar,ara
Aragonese,an,arg
Assamese,as,asm
Avaric,av,ava
Avestan,ae,ave
Aymara,ay,aym
Azerbaijani,az,aze
Bashkir,ba,bak
Bambara,bm,bam
Belarusian,be,bel
Bengali,bn,ben
Bislama,bi,bis
Tibetan,bo,tib
Bosnian,bs,bos
Breton,br,bre
Bulgarian,bg,bul
Catalan,ca,cat
Czech,cs,cze
Chamorro,ch,cha
Chechen,ce,che
Church Slavic,cu,chu
Chuvash,cv,chv
Cornish,kw,cor
Corsican,co,cos
Cree,cr,cre
Welsh,cy,wel
Danish,da,dan
German,de,ger
Divehi,dv,div
Dzongkha,dz,dzo
Modern Greek (1453-),el,gre
English,en,eng
Esperanto,eo,epo
Estonian,et,est
Basque,eu,baq
Ewe,ee,ewe
Faroese,fo,fao
Persian,fa,per
Fijian,fj,fij
Finnish,fi,fin
French,fr,fre
Western Frisian,fy,fry
Fulah,ff,ful
Scottish Gaelic,gd,gla
Irish,ga,gle
Galician,gl,glg
Manx,gv,glv
Guarani,gn,grn
Gujarati,gu,guj
Haitian,ht,hat
Hausa,ha,hau
Hebrew,he,heb
Herero,hz,her
Hindi,hi,hin
Hiri Motu,ho,hmo
Croatian,hr,hrv
Hungarian,hu,hun
Armenian,hy,arm
Igbo,ig,ibo
Ido,io,ido
Sichuan Yi,ii,iii
Inuktitut,iu,iku
Interlingue,ie,ile
Interlingua (International Auxiliary Language Association),ia,ina
Indonesian,id,ind
Inupiaq,ik,ipk
Icelandic,is,ice
Italian,it,ita
Javanese,jv,jav
Japanese,ja,jpn
Kalaallisut,kl,kal
Kannada,kn,kan
Kashmiri,ks,kas
Georgian,ka,geo
Kanuri,kr,kau
Kazakh,kk,kaz
Khmer,km,khm
Kikuyu,ki,kik
Kinyarwanda,rw,kin
Kirghiz,ky,kir
Komi,kv,kom
Kongo,kg,kon
Korean,ko,kor
Kuanyama,kj,kua
Kurdish,ku,kur
Lao,lo,lao
Latin,la,lat
Latvian,lv,lav
Limburgan,li,lim
Lingala,ln,lin
Lithuanian,lt,lit
Luxembourgish,lb,ltz
Luba-Katanga,lu,lub
Ganda,lg,lug
Marshallese,mh,mah
Malayalam,ml,mal
Marathi,mr,mar
Macedonian,mk,mac
Malagasy,mg,mlg
Maltese,mt,mlt
Mongolian,mn,mon
Maori,mi,mao
Malay (macrolanguage),ms,may
Burmese,my,bur
Nauru,na,nau
Navajo,nv,nav
South Ndebele,nr,nbl
North Ndebele,nd,nde
Ndonga,ng,ndo
Nepali (macrolanguage),ne,nep
Dutch,nl,dut
Norwegian Nynorsk,nn,nno
Norwegian Bokmål,nb,nob
Norwegian,no,nor
Chichewa,ny,nya
Occitan (post 1500),oc,oci
Ojibwa,oj,oji
Oriya (macrolanguage),or,ori
Oromo,om,orm
Ossetian,os,oss
Panjabi,pa,pan
Pali,pi,pli
Polish,pl,pol
Portuguese,pt,por
Pushto,ps,pus
Quechua,qu,que
Romansh,rm,roh
Romanian,ro,rum
Rundi,rn,run
Russian,ru,rus
Sango,sg,sag
Sanskrit,sa,san
Sinhala,si,sin
Slovak,sk,slo
Slovenian,sl,slv
Northern Sami,se,sme
Samoan,sm,smo
Shona,sn,sna
Sindhi,sd,snd
Somali,so,som
Southern Sotho,st,sot
Spanish,es,spa
Albanian,sq,alb
Sardinian,sc,srd
Serbian,sr,srp
Swati,ss,ssw
Sundanese,su,sun
Swahili (macrolanguage),sw,swa
Swedish,sv,swe
Tahitian,ty,tah
Tamil,ta,tam
Tatar,tt,tat
Telugu,te,tel
Tajik,tg,tgk
Tagalog,tl,tgl
Thai,th,tha
Tigrinya,ti,tir
Tonga (Tonga Islands),to,ton
Tswana,tn,tsn
Tsonga,ts,tso
Turkmen,tk,tuk
Turkish,tr,tur
Twi,tw,twi
Uighur,ug,uig
Ukrainian,uk,ukr
Urdu,ur,urd
Uzbek,uz,uzb
Venda,ve,ven
Vietnamese,vi,vie
Volapük,vo,vol
Walloon,wa,wln
Wolof,wo,wol
Xhosa,xh,xho
Yiddish,yi,yid
Yoruba,yo,yor
Zhuang,za,zha
Chinese,zh,chi
Zulu,zu,zul
